first_mps,second_mps,result,time,warmstart_type,configuration
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_5/mnist-net_256x2_5_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_5/mnist-net_256x2_5_0_035.mps,UNSAT,104.232,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_5/mnist-net_256x2_5_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_5/mnist-net_256x2_5_0_037.mps,UNSAT,103.484,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,UNSAT,0.389,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,UNSAT,0.381,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_043.mps,UNSAT,0.415,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_045.mps,UNSAT,0.415,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_047.mps,UNSAT,0.412,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_049.mps,UNSAT,0.418,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_051.mps,UNSAT,0.407,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_053.mps,UNSAT,0.414,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_055.mps,UNSAT,0.41,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_057.mps,UNSAT,0.413,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_059.mps,UNSAT,0.391,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,UNSAT,3.664,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_043.mps,UNSAT,3.626,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_045.mps,UNSAT,3.645,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_047.mps,UNSAT,3.623,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_049.mps,UNSAT,3.653,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_051.mps,UNSAT,3.642,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_053.mps,UNSAT,3.659,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_055.mps,UNSAT,3.689,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_057.mps,UNSAT,3.688,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_059.mps,UNSAT,3.694,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_043.mps,UNSAT,4.498,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_045.mps,UNSAT,4.527,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_047.mps,UNSAT,4.519,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_049.mps,UNSAT,4.517,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_051.mps,UNSAT,4.524,UNSAT-UNSAT,
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_053.mps,UNSAT,4.523,UNSAT-UNSAT,
