Unnamed: 0,epsilon_value,result,time,verifier,obtained_labels,network_name,image_name,mps_path
7,0.021,UNSAT,,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps
8,0.023,UNSAT,,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps
9,0.025,UNSAT,,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_025.mps
10,0.027,UNSAT,,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_027.mps
11,0.029,UNSAT,,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_029.mps
12,0.031,UNSAT,,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_031.mps
13,0.033,UNSAT,0.668,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_033.mps
14,0.035,UNSAT,19.366,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_035.mps
15,0.037,UNSAT,32.419,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_037.mps
16,0.039,UNSAT,246.793,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_039.mps
17,0.041,UNSAT,112.392,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_041.mps
18,0.043,UNSAT,204.633,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_043.mps
19,0.045,UNSAT,287.205,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_045.mps
20,0.047,UNSAT,225.748,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_047.mps
